clock,covid19,others,total
398,0,4,4
399,0,4,4
400,0,4,4
401,0,3,3
402,1,3,4
403,1,4,5
404,0,4,4
405,0,4,4
406,0,5,5
407,0,5,5
408,0,6,6
409,0,5,5
410,0,5,5
411,0,4,4
412,0,4,4
413,0,5,5
414,0,4,4
415,0,4,4
416,0,2,2
417,0,3,3
418,0,3,3
419,0,4,4
420,0,2,2
421,0,2,2
422,0,2,2
423,0,3,3
424,0,2,2
425,0,2,2
426,0,2,2
427,0,3,3
428,0,3,3
429,0,4,4
430,0,4,4
431,0,2,2
432,0,2,2
433,0,3,3
434,0,3,3
435,0,3,3
436,0,4,4
437,0,3,3
438,0,3,3
439,0,3,3
440,0,3,3
441,0,4,4
442,0,4,4
443,0,3,3
444,0,3,3
445,0,3,3
446,0,2,2
447,0,3,3
448,0,3,3
449,0,3,3
450,0,3,3
451,0,3,3
452,0,2,2
453,0,3,3
454,0,1,1
455,0,2,2
456,0,2,2
457,0,2,2
458,0,2,2
459,0,3,3
460,0,4,4
461,0,4,4
462,0,4,4
463,0,4,4
464,0,4,4
465,0,4,4
466,0,4,4
467,0,3,3
468,0,4,4
469,0,5,5
470,0,5,5
471,0,2,2
472,0,3,3
473,0,3,3
474,0,3,3
475,0,4,4
476,0,3,3
477,0,3,3
478,0,4,4
479,0,4,4
480,0,3,3
481,0,3,3
482,0,4,4
483,0,5,5
484,0,5,5
485,0,5,5
486,0,3,3
487,0,3,3
488,0,3,3
489,0,4,4
490,0,4,4
491,0,5,5
492,0,6,6
493,0,6,6
494,0,6,6
495,0,6,6
496,0,6,6
497,0,6,6
498,0,7,7
499,0,6,6
500,0,6,6
501,0,6,6
502,0,6,6
503,0,6,6
504,0,5,5
505,0,5,5
506,0,5,5
507,0,5,5
508,0,5,5
509,0,5,5
510,0,4,4
511,0,4,4
512,0,5,5
513,0,5,5
514,0,5,5
515,0,6,6
516,0,6,6
517,0,6,6
518,0,7,7
519,0,4,4
520,0,5,5
521,0,6,6
522,0,5,5
523,0,6,6
524,0,6,6
525,0,6,6
526,0,5,5
527,0,5,5
528,0,6,6
529,0,5,5
530,0,6,6
531,0,6,6
532,0,7,7
533,0,7,7
534,0,8,8
535,0,7,7
536,0,7,7
537,0,7,7
538,0,7,7
539,0,8,8
540,0,8,8
541,0,8,8
542,0,8,8
543,0,8,8
544,0,8,8
545,0,8,8
546,0,8,8
547,0,9,9
548,0,6,6
549,0,6,6
550,0,6,6
551,0,6,6
552,0,4,4
553,0,4,4
554,0,4,4
555,0,5,5
556,0,5,5
557,0,3,3
558,0,3,3
559,0,2,2
560,0,3,3
561,0,3,3
562,0,3,3
563,0,4,4
564,0,3,3
565,0,3,3
566,0,3,3
567,0,4,4
568,0,5,5
569,0,3,3
570,0,3,3
571,0,2,2
572,0,2,2
573,0,3,3
574,0,4,4
575,0,4,4
576,0,4,4
577,0,3,3
578,0,3,3
579,0,3,3
580,0,3,3
581,0,4,4
582,0,5,5
583,0,6,6
584,0,3,3
585,0,3,3
586,0,3,3
587,0,4,4
588,0,4,4
589,0,4,4
590,0,4,4
591,0,4,4
592,0,3,3
593,0,4,4
594,0,4,4
595,0,3,3
596,0,3,3
597,0,4,4
598,0,4,4
599,0,4,4
600,0,3,3
601,0,4,4
602,0,4,4
603,0,4,4
604,0,4,4
605,0,4,4
606,0,5,5
607,0,4,4
608,0,4,4
609,0,5,5
610,0,5,5
611,0,4,4
612,0,5,5
613,0,5,5
614,0,4,4
615,0,4,4
616,0,4,4
617,0,3,3
618,0,4,4
619,0,2,2
620,0,2,2
621,0,2,2
622,0,3,3
623,0,3,3
624,0,3,3
625,0,4,4
626,0,4,4
627,0,3,3
628,0,3,3
629,0,3,3
630,0,3,3
631,0,3,3
632,0,2,2
633,0,3,3
634,0,3,3
635,0,4,4
636,0,4,4
637,0,5,5
638,0,5,5
639,0,5,5
640,0,5,5
641,0,5,5
642,0,5,5
643,0,6,6
644,0,5,5
645,0,6,6
646,0,7,7
647,0,5,5
648,0,5,5
649,0,5,5
650,0,6,6
651,0,5,5
652,0,5,5
653,0,3,3
654,0,4,4
655,0,3,3
656,0,3,3
657,0,1,1
658,0,2,2
659,0,3,3
660,0,2,2
661,0,3,3
662,0,2,2
663,0,2,2
664,0,1,1
665,0,2,2
666,0,2,2
667,0,2,2
668,0,2,2
669,0,2,2
670,0,1,1
671,0,2,2
672,0,2,2
673,0,1,1
674,0,1,1
675,1,1,2
676,0,1,1
677,0,2,2
678,0,2,2
679,0,1,1
680,0,1,1
681,0,2,2
682,0,1,1
683,0,1,1
